#doi: 10.3389/fmicb.2016.00275
#
BSU Number	Gene_Name	Regulator name	DBTBS	Goelzer et al. 2008 &  SubtiWiki before Marsh 2013	SubtiWiki Marsh 2013	Sporulation database	RegPrecise
BSU14480	abh	sigX	yes	yes	yes	no	no
BSU28810	abnA	AraR	yes	yes	yes	no	yes
BSU00370	abrB	Spo0A	yes	yes	yes	yes	no
BSU00370	abrB	AbrB	yes	yes	yes	no	no
BSU29470	ackA	CcpA	yes	yes	yes	no	yes
BSU08060	acoA	sigL	yes	yes	yes	no	no
BSU08060	acoA	CcpA	yes	yes	yes	no	yes
BSU08060	acoA	AcoR	yes	yes	yes	no	yes
BSU08100	acoR	CcpA	yes	yes	yes	no	yes
BSU29680	acsA	CodY	yes	yes	yes	no	yes
BSU29680	acsA	CcpA	yes	yes	yes	no	yes
BSU29690	acuA	CcpA	yes	yes	yes	no	yes
BSU01810	adaA	AdaA	yes	yes	yes	no	yes
BSU02850	adcA	Zur	yes	yes	yes	no	yes
BSU10620	addB	ComK	yes	yes	yes	no	no
BSU40090	ahpC	PerR	yes	yes	yes	no	yes
BSU38830	aldY	sigB	yes	yes	yes	no	no
BSU01800	alkA	AdaA	yes	yes	yes	no	yes
BSU17640	alrB	sigE	yes	yes	yes	yes	no
BSU36010	alsS	Rex	yes	yes	yes	no	no
BSU36010	alsS	AlsR	yes	yes	yes	no	yes
BSU18120	alsT	TnrA	yes	yes	yes	no	yes
BSU36510	amtB	TnrA	yes	yes	yes	no	yes
BSU03040	amyE	CcpA	yes	yes	yes	no	yes
BSU23580	ansA	AnsR	yes	yes	yes	no	yes
BSU23590	ansR	AnsR	yes	yes	yes	no	yes
BSU02690	ansZ	TnrA	yes	yes	yes	no	yes
BSU11360	appD	scoC	yes	yes	yes	yes	no
BSU10300	aprE	SinR	yes	yes	yes	yes	no
BSU10300	aprE	scoC	yes	yes	yes	yes	no
BSU10300	aprE	AbrB	yes	yes	yes	no	no
BSU17260	aprX	LexA	yes	yes	yes	no	yes
BSU28800	araA	CcpA	yes	yes	yes	no	yes
BSU28800	araA	AraR	yes	yes	yes	no	yes
BSU28790	araB	CcpA	yes	yes	yes	no	yes
BSU33960	araE	CcpA	yes	yes	yes	no	yes
BSU33960	araE	AraR	yes	yes	yes	no	yes
BSU33970	araR	AraR	yes	yes	yes	no	yes
BSU37290	arfM	Fnr	yes	yes	yes	no	yes
BSU11190	argC	AhrC	yes	yes	yes	no	yes
BSU25810	arsR	ArsR	yes	yes	yes	no	yes
BSU10790	asnO	sigE	yes	yes	yes	yes	no
BSU26720	azlB	AzlB	yes	yes	yes	no	no
BSU36530	bcrC	sigX	yes	yes	yes	no	no
BSU36530	bcrC	sigM	yes	yes	yes	no	no
BSU33480	bdbD	sigE	yes	yes	yes	yes	no
BSU33480	bdbD	ComK	yes	yes	yes	no	no
BSU32010	besA	Fur	yes	yes	yes	no	yes
BSU39270	bglP	LicT	yes	yes	yes	no	no
BSU39270	bglP	CcpA	yes	yes	yes	no	yes
BSU39070	bglS	LicT	yes	yes	yes	no	no
BSU39070	bglS	CcpA	yes	yes	yes	no	yes
BSU30240	bioW	BirA	yes	yes	yes	no	yes
BSU26590	blt	Mta	yes	yes	yes	no	no
BSU26590	blt	BltR	yes	yes	yes	no	yes
BSU24010	bmr	Mta	yes	yes	yes	no	no
BSU24010	bmr	BmrR	yes	yes	yes	no	yes
BSU24000	bmrU	sigB	yes	yes	yes	no	no
BSU00230	bofA	SpoIIID	yes	yes	yes	yes	no
BSU00230	bofA	sigE	yes	yes	yes	yes	no
BSU27750	bofC	sigG	yes	yes	yes	yes	no
BSU27750	bofC	sigF	yes	yes	yes	yes	no
BSU27170	bscR	FatR	yes	yes	yes	no	yes
BSU32540	bsn	PhoP	yes	yes	yes	no	no
BSU14140	ccpC	CcpC	yes	yes	yes	no	yes
BSU14140	ccpC	CcpA	yes	yes	yes	no	yes
BSU25300	cdd	sigB	yes	yes	yes	no	no
BSU19780	cgeA	sigK	yes	yes	yes	yes	no
BSU19780	cgeA	GerR	yes	yes	yes	yes	no
BSU19780	cgeA	GerE	yes	yes	yes	no	no
BSU19770	cgeC	sigK	yes	yes	yes	yes	no
BSU19770	cgeC	GerE	yes	yes	yes	no	no
BSU33950	cggR	CggR	yes	yes	yes	no	yes
BSU14010	cheV	sigD	yes	yes	yes	no	no
BSU38770	cimH	CcpA	yes	yes	yes	no	yes
BSU09440	citA	CitR	yes	yes	yes	no	yes
BSU18000	citB	CodY	yes	yes	yes	no	yes
BSU18000	citB	CcpC	yes	yes	yes	no	yes
BSU07610	citM	CitT	yes	yes	yes	no	yes
BSU07610	citM	CcpA	yes	yes	yes	no	yes
BSU29140	citZ	CcpC	yes	yes	yes	no	yes
BSU29140	citZ	CcpA	yes	yes	yes	no	yes
BSU13700	clpE	CtsR	yes	yes	yes	no	yes
BSU34540	clpP	sigB	yes	yes	yes	no	no
BSU34540	clpP	CtsR	yes	yes	yes	no	yes
BSU28220	clpX	CtsR	yes	yes	yes	no	no
BSU28070	comC	ComK	yes	yes	yes	no	no
BSU25590	comEA	ComK	yes	yes	yes	no	no
BSU35470	comFA	ComK	yes	yes	yes	no	no
BSU24730	comGA	ComK	yes	yes	yes	no	no
BSU10420	comK	Rok	yes	yes	yes	no	no
BSU10420	comK	DegU	yes	yes	yes	no	no
BSU10420	comK	ComK	yes	yes	yes	no	no
BSU10420	comK	CodY	yes	yes	yes	no	yes
BSU10420	comK	AbrB	yes	yes	yes	no	no
BSU06300	cotA	sigK	yes	yes	yes	yes	no
BSU36050	cotB	sigK	yes	yes	yes	yes	no
BSU36050	cotB	GerE	yes	yes	yes	no	no
BSU17700	cotC	SpoIIID	yes	yes	yes	yes	no
BSU17700	cotC	sigK	yes	yes	yes	yes	no
BSU17700	cotC	GerE	yes	yes	yes	no	no
BSU22200	cotD	SpoIIID	yes	yes	yes	yes	no
BSU22200	cotD	sigK	yes	yes	yes	yes	no
BSU22200	cotD	GerE	yes	yes	yes	no	no
BSU17030	cotE	sigK	yes	yes	yes	yes	no
BSU17030	cotE	sigE	yes	yes	yes	yes	no
BSU40530	cotF	sigK	yes	yes	yes	yes	no
BSU36070	cotG	sigK	yes	yes	yes	yes	no
BSU36070	cotG	GerR	yes	yes	yes	no	no
BSU36070	cotG	GerE	yes	yes	yes	no	no
BSU36060	cotH	sigK	yes	yes	yes	yes	no
BSU36060	cotH	GerE	yes	yes	yes	no	no
BSU30920	cotI	sigK	yes	yes	yes	yes	no
BSU06890	cotJA	SpoIIID	yes	yes	yes	yes	no
BSU06890	cotJA	sigE	yes	yes	yes	yes	no
BSU17970	cotM	sigK	yes	yes	yes	yes	no
BSU17970	cotM	GerE	yes	yes	yes	no	no
BSU11730	cotO	sigE	yes	yes	yes	yes	no
BSU30910	cotSA	sigK	yes	yes	yes	yes	no
BSU12090	cotT	sigK	yes	yes	yes	yes	no
BSU11780	cotV	sigK	yes	yes	yes	yes	no
BSU11780	cotV	GerE	yes	yes	yes	no	no
BSU11760	cotX	sigK	yes	yes	yes	yes	no
BSU11760	cotX	GerE	yes	yes	yes	no	no
BSU11750	cotY	sigK	yes	yes	yes	yes	no
BSU11750	cotY	GerR	yes	yes	yes	yes	no
BSU11750	cotY	GerE	yes	yes	yes	no	no
BSU35180	csbA	sigB	yes	yes	yes	no	no
BSU08600	csbB	sigX	yes	yes	yes	no	no
BSU08600	csbB	sigB	yes	yes	yes	no	no
BSU39810	csbC	sigB	yes	yes	yes	no	no
BSU36670	csbD	sigB	yes	yes	yes	no	no
BSU27760	csbX	sigB	yes	yes	yes	no	no
BSU00240	csfB	sigF	yes	yes	yes	yes	no
BSU02070	csgA	SpoVT	yes	yes	yes	yes	no
BSU02070	csgA	sigG	yes	yes	yes	yes	no
BSU33010	cssR	CssR	yes	yes	yes	no	yes
BSU14870	ctaA	sigE	yes	yes	yes	yes	no
BSU14870	ctaA	ResD	yes	yes	yes	no	no
BSU14880	ctaB	ResD	yes	yes	yes	no	no
BSU00520	ctc	sigB	yes	yes	yes	no	no
BSU35240	ctpB	sigG	yes	yes	yes	yes	no
BSU35240	ctpB	sigE	yes	yes	yes	yes	no
BSU00830	ctsR	sigB	yes	yes	yes	no	no
BSU00830	ctsR	CtsR	yes	yes	yes	no	yes
BSU17410	cwlC	sigK	yes	yes	yes	yes	no
BSU01530	cwlD	sigE	yes	yes	yes	yes	no
BSU25710	cwlH	sigK	yes	yes	yes	yes	no
BSU25710	cwlH	GerE	yes	yes	yes	no	no
BSU02600	cwlJ	sigE	yes	yes	yes	yes	no
BSU38760	cydA	Rex	yes	yes	yes	no	yes
BSU38760	cydA	ResD	yes	yes	yes	no	no
BSU38760	cydA	CcpA	yes	yes	yes	no	no
BSU33440	cysJ	CysL	yes	yes	yes	no	no
BSU00730	cysK	CymR	yes	yes	yes	no	yes
BSU37650	cysL	CysL	yes	yes	yes	no	no
BSU23190	dacB	sigE	yes	yes	yes	yes	no
BSU23480	dacF	sigG	yes	yes	yes	yes	no
BSU23480	dacF	sigF	yes	yes	yes	yes	no
BSU04470	dctP	CcpA	yes	yes	yes	no	yes
BSU31720	degQ	DegU	yes	yes	yes	no	no
BSU31720	degQ	ComA	yes	yes	yes	no	yes
BSU21940	degR	sigD	yes	yes	yes	no	no
BSU39420	deoC	DeoR	yes	yes	yes	no	yes
BSU39420	deoC	CcpA	yes	yes	yes	no	no
BSU19180	des	desR	yes	yes	yes	no	yes
BSU32000	dhbA	Fur	yes	yes	yes	no	yes
BSU05630	dinB	LexA	yes	yes	yes	no	yes
BSU00620	divIC	sigX	yes	yes	yes	no	no
BSU00620	divIC	sigW	yes	yes	yes	no	no
BSU38500	dltA	Spo0A	yes	yes	yes	yes	no
BSU38500	dltA	sigX	yes	yes	yes	no	no
BSU38500	dltA	sigD	yes	yes	yes	no	no
BSU29230	dnaE	LexA	yes	yes	yes	no	yes
BSU25210	dnaG	sigH	yes	yes	yes	yes	no
BSU12920	dppA	CodY	yes	yes	yes	no	yes
BSU16110	dprA	ComK	yes	yes	yes	no	no
BSU30650	dps	sigB	yes	yes	yes	no	no
BSU03670	dtpT	scoC	yes	yes	yes	yes	no
BSU38260	efeN	sigX	yes	yes	yes	no	no
BSU38260	efeN	sigW	yes	yes	yes	no	no
BSU38280	efeU	Fur	yes	yes	yes	no	yes
BSU40920	engD	ComK	yes	yes	yes	no	no
BSU38400	epr	SinR	yes	yes	yes	yes	no
BSU38400	epr	sigD	yes	yes	yes	no	no
BSU38400	epr	scoC	yes	yes	yes	yes	no
BSU34370	epsA	SinR	yes	yes	yes	yes	yes
BSU18630	exlX	Fur	yes	yes	yes	no	yes
BSU40880	exoA	sigG	yes	yes	yes	yes	no
BSU11330	fabHA	FapR	yes	yes	yes	no	yes
BSU10170	fabHB	FapR	yes	yes	yes	no	yes
BSU11720	fabI	FapR	yes	yes	yes	no	yes
BSU37180	fadF	FadR	yes	yes	yes	no	yes
BSU14060	fadH	FadR	yes	yes	yes	no	yes
BSU32840	fadN	sdpR	yes	yes	yes	no	no
BSU32840	fadN	FadR	yes	yes	yes	no	yes
BSU28550	fadR	FadR	yes	yes	yes	no	yes
BSU15880	fapR	FapR	yes	yes	yes	no	yes
BSU01630	feuA	Fur	yes	yes	yes	no	yes
BSU33320	fhuD	Fur	yes	yes	yes	no	yes
BSU16180	flgB	sigD	yes	yes	yes	no	no
BSU37310	fnr	ResD	yes	yes	yes	no	no
BSU37310	fnr	NsrR	yes	yes	yes	no	no
BSU03340	folEB	Zur	yes	yes	yes	no	yes
BSU14380	fruR	FruR	yes	yes	yes	no	yes
BSU15280	ftsA	WalR	yes	yes	yes	no	no
BSU15280	ftsA	sigH	yes	yes	yes	yes	no
BSU15950	ftsY	sigK	yes	yes	yes	yes	no
BSU15950	ftsY	GerE	yes	yes	yes	no	no
BSU23520	fur	PerR	yes	yes	yes	no	yes
BSU03910	gabD	sigB	yes	yes	yes	no	no
BSU06310	gabP	TnrA	yes	yes	yes	no	yes
BSU06310	gabP	CodY	yes	yes	yes	no	yes
BSU03890	gabR	GabR	yes	yes	yes	no	yes
BSU03900	gabT	GabR	yes	yes	yes	no	yes
BSU38190	galT	CcpA	yes	yes	yes	no	yes
BSU34130	ganA	LacR	yes	yes	yes	no	yes
BSU29020	gapB	CcpN	yes	yes	yes	no	yes
BSU33050	gerAA	SpoVT	yes	yes	yes	yes	no
BSU33050	gerAA	sigG	yes	yes	yes	yes	no
BSU33050	gerAA	sigF	yes	yes	yes	yes	no
BSU35800	gerBA	sigG	yes	yes	yes	yes	no
BSU01550	gerD	sigG	yes	yes	yes	yes	no
BSU28410	gerE	sigK	yes	yes	yes	yes	no
BSU03700	gerKA	SpoVT	yes	yes	yes	yes	no
BSU03700	gerKA	sigG	yes	yes	yes	yes	no
BSU28380	gerM	sigE	yes	yes	yes	yes	no
BSU10720	gerPA	sigK	yes	yes	yes	yes	no
BSU03920	glcU	SpoVT	yes	yes	yes	yes	no
BSU03920	glcU	sigG	yes	yes	yes	yes	no
BSU30980	glgB	sigE	yes	yes	yes	yes	no
BSU27430	glnQ	TnrA	yes	yes	yes	no	yes
BSU17450	glnR	TnrA	yes	yes	yes	no	yes
BSU17450	glnR	GlnR	yes	yes	yes	no	yes
BSU09300	glpD	GlpP	yes	yes	yes	no	no
BSU09280	glpF	GlpP	yes	yes	yes	no	no
BSU09280	glpF	CcpA	yes	yes	yes	no	yes
BSU02130	glpQ	PhoP	yes	yes	yes	no	no
BSU02140	glpT	GlpP	yes	yes	yes	no	no
BSU18450	gltA	TnrA	yes	yes	yes	no	yes
BSU26670	gltR	GltR	yes	yes	yes	no	yes
BSU36900	glyA	PurR	yes	yes	yes	no	yes
BSU05830	gmuC	CcpA	yes	yes	yes	no	yes
BSU40050	gntR	GntR	yes	yes	yes	no	yes
BSU40050	gntR	CcpA	yes	yes	yes	no	yes
BSU25540	gpr	sigG	yes	yes	yes	yes	no
BSU25540	gpr	sigF	yes	yes	yes	yes	no
BSU06020	groES	HrcA	yes	yes	yes	no	yes
BSU04400	gsiB	sigB	yes	yes	yes	no	no
BSU38430	gspA	sigB	yes	yes	yes	no	no
BSU35670	gtaB	sigB	yes	yes	yes	no	no
BSU32130	guaC	PurR	yes	yes	yes	no	yes
BSU13170	guaD	PucR	yes	yes	yes	no	no
BSU06150	gutB	GutR	yes	yes	yes	no	yes
BSU35360	hag	sigD	yes	yes	yes	no	no
BSU35360	hag	CodY	yes	yes	yes	no	no
BSU22790	hbs	sigH	yes	yes	yes	yes	no
BSU22790	hbs	LexA	yes	yes	yes	no	yes
BSU28170	hemA	PerR	yes	yes	yes	no	yes
BSU10380	hemAT	sigD	yes	yes	yes	no	no
BSU13040	hmp	ResD	yes	yes	yes	no	no
BSU13040	hmp	NsrR	yes	yes	yes	no	yes
BSU25490	hrcA	HrcA	yes	yes	yes	no	yes
BSU12900	htrA	CssR	yes	yes	yes	no	yes
BSU33000	htrB	CssR	yes	yes	yes	no	yes
BSU39350	hutH	HutP	yes	yes	yes	no	no
BSU39340	hutP	CodY	yes	yes	yes	no	yes
BSU39340	hutP	CcpA	yes	yes	yes	no	no
BSU03460	hxlA	HxlR	yes	yes	yes	no	yes
BSU21770	ilvA	CodY	yes	yes	yes	no	yes
BSU28310	ilvB	TnrA	yes	yes	yes	no	yes
BSU28310	ilvB	CodY	yes	yes	yes	no	yes
BSU28310	ilvB	CcpA	yes	yes	yes	no	yes
BSU21870	ilvD	CodY	yes	yes	yes	no	yes
BSU02390	ilvE	CodY	yes	yes	yes	no	yes
BSU28870	infC	RplT	yes	yes	yes	no	yes
BSU39750	iolB	CcpA	yes	yes	yes	no	yes
BSU39770	iolR	IolR	yes	yes	yes	no	yes
BSU06230	iolT	IolR	yes	yes	yes	no	no
BSU08820	katA	PerR	yes	yes	yes	no	yes
BSU39050	katE	sigB	yes	yes	yes	no	no
BSU38630	katX	sigF	yes	yes	yes	yes	no
BSU38630	katX	sigB	yes	yes	yes	no	no
BSU38630	katX	RsfA	yes	yes	yes	yes	no
BSU22100	kdgA	CcpA	yes	yes	yes	no	yes
BSU22120	kdgR	KdgR	yes	yes	yes	no	yes
BSU13990	kinA	Spo0A	yes	yes	yes	yes	no
BSU13990	kinA	sigH	yes	yes	yes	yes	no
BSU14490	kinC	Spo0A	yes	yes	yes	yes	no
BSU28560	lcfA	CcpA	yes	yes	yes	no	yes
BSU10270	lcfB	FadR	yes	yes	yes	no	yes
BSU03050	ldh	Rex	yes	yes	yes	no	yes
BSU27070	levD	sigL	yes	yes	yes	no	no
BSU27070	levD	LevR	yes	yes	yes	no	yes
BSU27070	levD	CcpA	yes	yes	yes	no	yes
BSU17850	lexA	LexA	yes	yes	yes	no	yes
BSU38590	licB	LicR	yes	yes	yes	no	yes
BSU38590	licB	CcpA	yes	yes	yes	no	yes
BSU04110	lipC	sigK	yes	yes	yes	yes	no
BSU02680	lmrA	LmrA	yes	yes	yes	no	yes
BSU28200	lonA	CtsR	yes	yes	yes	no	no
BSU28210	lonB	sigF	yes	yes	yes	yes	no
BSU35640	lytA	YvrHb	yes	yes	yes	no	no
BSU35640	lytA	sigD	yes	yes	yes	no	no
BSU35780	lytD	sigD	yes	yes	yes	no	no
BSU09420	lytE	sigH	yes	yes	yes	yes	no
BSU09370	lytF	sigD	yes	yes	yes	no	no
BSU35650	lytR	sigX	yes	yes	yes	no	no
BSU37050	maeA	MalR	yes	yes	yes	no	yes
BSU31580	maeN	MalR	yes	yes	yes	no	yes
BSU08180	malA	CcpA	yes	yes	yes	no	yes
BSU31240	mcpA	sigD	yes	yes	yes	no	no
BSU31260	mcpB	sigD	yes	yes	yes	no	no
BSU13950	mcpC	sigD	yes	yes	yes	no	no
BSU24770	mgsR	sigB	yes	yes	yes	no	no
BSU28000	minC	sigH	yes	yes	yes	yes	no
BSU24170	mmgA	sigE	yes	yes	yes	yes	no
BSU24170	mmgA	CcpA	yes	yes	yes	no	yes
BSU39760	mmsA	IolR	yes	yes	yes	no	yes
BSU39760	mmsA	CcpA	yes	yes	yes	no	yes
BSU30770	mntA	MntR	yes	yes	yes	no	yes
BSU04360	mntH	MntR	yes	yes	yes	no	yes
BSU13690	motA	sigD	yes	yes	yes	no	no
BSU32990	mrgA	PerR	yes	yes	yes	no	yes
BSU38810	msmX	CcpA	yes	yes	yes	no	yes
