1	YP_009513980.1	YP_009513980.1	antisense RNA	BSU_misc_RNA_92	BSU_26055
2	NP_387882.1	NP_390027.1	repression	BSU_00010	BSU_21440
3	NP_387882.1	NP_390028.1	repression	BSU_00010	BSU_21450
4	NP_387882.1	NP_390029.1	repression	BSU_00010	BSU_21460
5	NP_387882.1	NP_390030.1	repression	BSU_00010	BSU_21470
6	NP_387882.1	NP_390031.1	repression	BSU_00010	BSU_21480
7	NP_387882.1	NP_391576.1	repression	BSU_00010	BSU_36950
8	NP_387882.1	NP_391686.1	repression	BSU_00010	BSU_38070
9	NP_387882.1	NP_391687.2	repression	BSU_00010	BSU_38080
10	NP_387882.1	NP_391688.1	repression	BSU_00010	BSU_38090
11	NP_387882.1	NP_391873.2	repression	BSU_00010	BSU_39940
12	NP_387882.1	NP_391875.2	repression	BSU_00010	BSU_39950
13	NP_387882.1	NP_391938.1	repression	BSU_00010	BSU_40580
14	NP_387882.1	NP_391939.1	repression	BSU_00010	BSU_40590
15	NP_387882.1	NP_391940.1	repression	BSU_00010	BSU_40600
16	NP_387882.1	NP_391941.1	repression	BSU_00010	BSU_40610
17	NP_387882.1	NP_391942.1	repression	BSU_00010	BSU_40620
18	NP_387882.1	YP_054588.1	activation	BSU_00010	BSU_25690
19	NP_387918.1	NP_387918.1	repression	BSU_00370	BSU_00370
20	NP_387918.1	NP_387930.1	repression	BSU_00370	BSU_00490
21	NP_387918.1	NP_387979.1	repression	BSU_00370	BSU_00980
22	NP_387918.1	NP_387980.1	repression	BSU_00370	BSU_00990
23	NP_387918.1	NP_387981.1	repression	BSU_00370	BSU_01000
24	NP_387918.1	NP_388032.2	repression	BSU_00370	BSU_01510
25	NP_387918.1	NP_388054.1	repression	BSU_00370	BSU_01730
26	NP_387918.1	NP_388055.1	repression	BSU_00370	BSU_01740
27	NP_387918.1	NP_388072.1	repression	BSU_00370	BSU_01910
28	NP_387918.1	NP_388073.2	repression	BSU_00370	BSU_01920
29	NP_387918.1	NP_388077.1	repression	BSU_00370	BSU_01950
30	NP_387918.1	NP_388078.2	repression	BSU_00370	BSU_01960
31	NP_387918.1	NP_388079.2	repression	BSU_00370	BSU_01970
32	NP_387918.1	NP_388080.2	repression	BSU_00370	BSU_01980
33	NP_387918.1	NP_388086.1	repression	BSU_00370	BSU_02040
34	NP_387918.1	NP_388087.1	repression	BSU_00370	BSU_02050
35	NP_387918.1	NP_388113.1	repression	BSU_00370	BSU_02310
36	NP_387918.1	NP_388114.1	repression	BSU_00370	BSU_02320
37	NP_387918.1	NP_388115.1	repression	BSU_00370	BSU_02330
38	NP_387918.1	NP_388134.1	repression	BSU_00370	BSU_02520
39	NP_387918.1	NP_388160.1	repression	BSU_00370	BSU_02780
40	NP_387918.1	NP_388186.2	activation	BSU_00370	BSU_03040
41	NP_387918.1	NP_388308.1	repression	BSU_00370	BSU_34280
42	NP_387918.1	NP_388309.1	repression	BSU_00370	BSU_34265
43	NP_387918.1	NP_388380.1	repression	BSU_00370	BSU_04990
44	NP_387918.1	NP_388391.1	repression	BSU_00370	BSU_05100
45	NP_387918.1	NP_388401.1	repression	BSU_00370	BSU_05200
