#Regulatory network described by Edgardo Galan. 10-08-2020
#
#Locus_tag	Name	ID_uniprot	Target	Interaction	Reference	Anotation
PA4147	acoR	Q9HWN4	acoA	+	30058099	EGV
PA4147	acoR	Q9HWN4	acoB	+	30058099	EGV
PA4147	acoR	Q9HWN4	acoC	+	30058099	EGV
PA4147	acoR	Q9HWN4	acoX	+	30058099	EGV
PA4147	acoR	Q9HWN4	PA4148	+	30058099	EGV
PA4147	acoR	Q9HWN4	PA4153	+	30058099	EGV
PA1978	agmR	P29369	exaA	+	18974177	EGV
PA1978	agmR	P29369	exaB	+	18974177	EGV
PA1978	agmR	P29369	exaC	+	18974177	EGV
PA1978	agmR	P29369	exaD	+	18974177	EGV
PA1978	agmR	P29369	exaE	+	18974177	EGV
PA1978	agmR	P29369	pqqA	+	18974177	EGV
PA1978	agmR	P29369	pqqB	+	18974177	EGV
PA1978	agmR	P29369	pqqC	+	18974177	EGV
PA1978	agmR	P29369	pqqD	+	18974177	EGV
PA1978	agmR	P29369	pqqE	+	18974177	EGV
PA1978	agmR	P29369	pqqH	+	19902179	EGV
PA1978	agmR	P29369	agmR	+	18974177	EGV
PA0601	agtR	Q9I5T7	agtA	+	23982201	EGV
PA0601	agtR	Q9I5T7	agtB	+	23982201	EGV
PA0601	agtR	Q9I5T7	agtC	+	23982201	EGV
PA0601	agtR	Q9I5T7	agtD	+	23982201	EGV
PA0294	aguR	Q9I6J7	aguA	-	18974177	EGV
PA0294	aguR	Q9I6J7	aguB	-	18974177	EGV
PA5483	algB	P23747	algD	+	22088575	EGV
PA5483	algB	P23747	algB	+	22088575	EGV
PA5483	algB	P23747	algB	-	22479525	EGV
PA5483	algB	P23747	algB	+	18974177	EGV
PA5483	algB	P23747	algB	+	18974177	EGV
PA5483	algB	P23747	algB	+	29760208	EGV
PA5255	algQ	P15275	lasR	-	18440972	EGV
PA5255	algQ	P15275	rhlR	-	18440972	EGV
PA5255	algQ	P15275	rpoD	-	23991093, 18974177	EGV
PA5255	algQ	P15275	algQ	+	Homology from 25783015	EGV
PA5261	algR	P26275	algZ	-	18974177	EGV
PA5261	algR	P26275	argG	-	18440972	EGV
PA5261	algR	P26275	gdhA	-	18440972	EGV
PA5261	algR	P26275	hcnA	-	19270096	EGV
PA5261	algR	P26275	lipA	-	24187093	EGV
PA5261	algR	P26275	pvdS	-	28400281	EGV
PA5261	algR	P26275	rhlA	-	28400281	EGV
PA5261	algR	P26275	rhlB	-	18440972	EGV
PA5261	algR	P26275	rhlI	-	28400281	EGV
PA5261	algR	P26275	alg44	+	18440972	EGV
PA5261	algR	P26275	alg8	+	18440972	EGV
PA5261	algR	P26275	algA	+	18440972	EGV
PA5261	algR	P26275	algC	+	18440972	EGV
PA5261	algR	P26275	algD	+	25488298	EGV
PA5261	algR	P26275	algE	+	18440972	EGV
PA5261	algR	P26275	algF	+	18440972	EGV
PA5261	algR	P26275	algG	+	18440972	EGV
PA5261	algR	P26275	algI	+	18440972	EGV
PA5261	algR	P26275	algJ	+	18440972	EGV
PA5261	algR	P26275	algK	+	18440972	EGV
PA5261	algR	P26275	algL	+	18440972	EGV
PA5261	algR	P26275	algR	+	18974177	EGV
PA5261	algR	P26275	algR	+	18974177	EGV
PA5261	algR	P26275	algX	+	18440972	EGV
PA5261	algR	P26275	argB	+	18440972	EGV
PA5261	algR	P26275	braZ	+	18440972	EGV
PA5261	algR	P26275	czcR	+	28400281	EGV
PA5261	algR	P26275	exsA	+	25070741	EGV
PA5261	algR	P26275	fimU	+	24187093	EGV
PA5261	algR	P26275	mucR	+	26206672	EGV
PA5261	algR	P26275	nrdA	+	29263410	EGV
PA5261	algR	P26275	nrdB	+	29263410	EGV
PA5261	algR	P26275	PA0328	+	18440972	EGV
PA5261	algR	P26275	PA1818	+	18440972	EGV
PA5261	algR	P26275	PA1819	+	18440972	EGV
PA5261	algR	P26275	PA3934	+	18440972	EGV
PA5261	algR	P26275	PA5152	+	18440972	EGV
PA5261	algR	P26275	PA5153	+	18440972	EGV
PA5261	algR	P26275	arcD	+	24187093	EGV
PA5261	algR	P26275	arcA	+	24187093	EGV
PA5261	algR	P26275	arcB	+	24187093	EGV
PA5261	algR	P26275	arcC	+	24187093	EGV
PA5261	algR	P26275	pilV	+	24187093	EGV
