NP_414542.1	b0001	thrL
NP_414543.1	b0002	thrA
NP_414544.1	b0003	thrB
NP_414545.1	b0004	thrC
NP_414546.1	b0005	yaaX
NP_414547.1	b0006	yaaA
NP_414548.1	b0007	yaaJ
NP_414549.1	b0008	talB
NP_414550.1	b0009	mog
NP_414551.1	b0010	satP
NP_414552.1	b0011	yaaW
YP_009518733.1	b0012	mbiA
NP_414554.1	b0013	yaaI
NP_414555.1	b0014	dnaK
NP_414556.1	b0015	dnaJ
NP_414557.1	b0016	insL-1
NP_414559.1	b0018	mokC
YP_025292.1	b4412	hokC
NP_414560.1	b0019	nhaA
NP_414561.1	b0020	nhaR
NP_414562.1	b0021	insB-1
NP_414563.1	b0022	insA-1
NP_414564.1	b0023	rpsT
NP_414565.1	b0024	yaaY
NP_414566.1	b0025	ribF
NP_414567.1	b0026	ileS
NP_414568.1	b0027	lspA
NP_414569.1	b0028	fkpB
NP_414570.1	b0029	ispH
NP_414571.1	b0030	rihC
NP_414572.1	b0031	dapB
NP_414573.1	b0032	carA
NP_414574.1	b0033	carB
NP_414576.4	b0034	caiF
NP_414577.2	b0035	caiE
NP_414578.2	b0036	caiD
NP_414579.4	b0037	caiC
NP_414580.1	b0038	caiB
NP_414581.1	b0039	caiA
NP_414582.1	b0040	caiT
NP_414583.2	b0041	fixA
NP_414584.1	b0042	fixB
NP_414585.1	b0043	fixC
NP_414586.1	b0044	fixX
NP_414587.1	b0045	yaaU
NP_414588.1	b0046	kefF
NP_414589.1	b0047	kefC
NP_414590.1	b0048	folA
NP_414591.1	b0049	apaH
NP_414592.1	b0050	apaG
NP_414593.1	b0051	rsmA
NP_414594.1	b0052	pdxA
NP_414595.1	b0053	surA
NP_414596.1	b0054	lptD
NP_414597.1	b0055	djlA
YP_009518734.1	b0056	yabP
YP_009518735.1	b0057	yabQ
NP_414600.1	b0058	rluA
NP_414601.1	b0059	rapA
NP_414602.1	b0060	polB
NP_414603.1	b0061	araD
NP_414604.1	b0062	araA
NP_414605.1	b0063	araB
NP_414606.1	b0064	araC
NP_414607.1	b0065	yabI
NP_414608.1	b0066	thiQ
NP_414609.1	b0067	thiP
NP_414610.1	b0068	thiB
NP_414611.1	b0069	sgrR
YP_002791237.1	b4662	sgrT
YP_025293.1	b0070	setA
NP_414613.1	b0071	leuD
NP_414614.1	b0072	leuC
NP_414615.4	b0073	leuB
NP_414616.1	b0074	leuA
NP_414617.1	b0075	leuL
NP_414618.4	b0076	leuO
YP_009518736.1	b4726	yabR
