NP_064721.1	PA0001	dnaA
NP_064722.1	PA0002	dnaN
NP_064723.1	PA0003	recF
NP_064724.1	PA0004	gyrB
NP_064725.1	PA0005	lptA
NP_064726.1	PA0006	NODATA
NP_064727.1	PA0007	NODATA
NP_064728.1	PA0008	glyS
NP_064729.1	PA0009	glyQ
NP_248700.1	PA0010	tag
NP_248701.1	PA0011	NODATA
NP_248702.1	PA0012	NODATA
NP_248703.1	PA0013	NODATA
NP_248704.1	PA0014	NODATA
NP_248705.1	PA0015	NODATA
NP_248706.1	PA0016	trkA
NP_248707.1	PA0017	NODATA
NP_248708.1	PA0018	fmt
NP_248709.1	PA0019	def
NP_248710.1	PA0020	NODATA
NP_248711.1	PA0021	NODATA
NP_248712.1	PA0022	NODATA
NP_248713.1	PA0023	qor
NP_248714.1	PA0024	hemF
NP_248715.1	PA0025	aroE
NP_248716.1	PA0026	plcB
NP_248717.1	PA0027	NODATA
NP_248718.1	PA0028	NODATA
NP_248719.1	PA0029	NODATA
NP_248720.1	PA0030	NODATA
NP_248721.1	PA0031	betC
NP_248722.1	PA0032	NODATA
YP_008719728.1	PA0032a	NODATA
NP_248723.1	PA0033	NODATA
NP_248724.1	PA0034	NODATA
NP_248725.1	PA0035	trpA
NP_248726.1	PA0036	trpB
NP_248727.1	PA0037	trpI
NP_248728.1	PA0038	NODATA
NP_248729.1	PA0039	NODATA
NP_248730.1	PA0040	NODATA
NP_248731.1	PA0041	NODATA
YP_008719729.1	PA0041a	NODATA
NP_248732.1	PA0042	NODATA
NP_248733.1	PA0043	NODATA
NP_248734.1	PA0044	exoT
NP_248735.1	PA0045	NODATA
NP_248736.1	PA0046	NODATA
NP_248737.1	PA0047	NODATA
NP_248738.1	PA0048	NODATA
NP_248739.1	PA0049	NODATA
NP_248740.1	PA0050	NODATA
NP_248741.1	PA0051	phzH
NP_248742.1	PA0052	NODATA
NP_248744.1	PA0054	NODATA
NP_248745.1	PA0055	NODATA
NP_248746.1	PA0056	NODATA
NP_248747.1	PA0057	NODATA
NP_248748.1	PA0058	NODATA
NP_248749.1	PA0059	osmC
NP_248750.1	PA0060	NODATA
NP_248751.1	PA0061	NODATA
NP_248752.1	PA0062	NODATA
NP_248753.1	PA0063	NODATA
NP_248754.1	PA0064	NODATA
NP_248755.1	PA0065	NODATA
NP_248756.1	PA0066	NODATA
NP_248757.1	PA0067	prlC
NP_248758.1	PA0068	NODATA
NP_248759.1	PA0069	NODATA
NP_248760.1	PA0070	NODATA
NP_248761.1	PA0071	NODATA
NP_248762.1	PA0072	NODATA
NP_248763.1	PA0073	NODATA
NP_248764.1	PA0074	ppkA
NP_248765.1	PA0075	pppA
NP_248766.1	PA0076	NODATA
NP_248767.1	PA0077	icmF1
