NP_214515.1	Rv0001	dnaA
NP_214516.1	Rv0002	dnaN
NP_214517.1	Rv0003	recF
NP_214518.1	Rv0004	NODATA
NP_214519.2	Rv0005	gyrB
NP_214520.1	Rv0006	gyrA
NP_214521.1	Rv0007	NODATA
NP_214522.1	Rv0008c	NODATA
NP_214523.1	Rv0009	ppiA
NP_214524.1	Rv0010c	NODATA
NP_214525.1	Rv0011c	NODATA
NP_214526.1	Rv0012	NODATA
YP_177615.1	Rv0013	trpG
NP_214528.1	Rv0014c	pknB
NP_214529.1	Rv0015c	pknA
NP_214530.1	Rv0016c	pbpA
NP_214531.1	Rv0017c	rodA
NP_214532.1	Rv0018c	pstP
NP_214533.1	Rv0019c	fhaB
NP_214534.1	Rv0020c	fhaA
NP_214535.1	Rv0021c	NODATA
NP_214536.1	Rv0022c	whiB5
NP_214537.1	Rv0023	NODATA
NP_214538.1	Rv0024	NODATA
NP_214539.1	Rv0025	NODATA
NP_214540.1	Rv0026	NODATA
NP_214541.1	Rv0027	NODATA
NP_214542.1	Rv0028	NODATA
NP_214543.1	Rv0029	NODATA
NP_214544.1	Rv0030	NODATA
NP_214546.1	Rv0032	bioF2
NP_214547.1	Rv0033	acpA
NP_214548.1	Rv0034	NODATA
YP_177686.1	Rv0035	fadD34
NP_214550.1	Rv0036c	NODATA
NP_214551.1	Rv0037c	NODATA
NP_214552.1	Rv0038	NODATA
NP_214553.1	Rv0039c	NODATA
NP_214554.2	Rv0040c	mtc28
NP_214555.1	Rv0041	leuS
NP_214556.1	Rv0042c	NODATA
NP_214557.1	Rv0043c	NODATA
NP_214558.1	Rv0044c	NODATA
NP_214559.1	Rv0045c	NODATA
NP_214560.1	Rv0046c	ino1
NP_214561.1	Rv0047c	NODATA
NP_214562.1	Rv0048c	NODATA
NP_214563.1	Rv0049	NODATA
YP_177687.1	Rv0050	ponA1
NP_214565.1	Rv0051	NODATA
NP_214566.3	Rv0052	NODATA
NP_214567.1	Rv0053	rpsF
NP_214568.1	Rv0054	ssb
YP_177688.1	Rv0055	rpsR1
NP_214570.1	Rv0056	rplI
NP_214571.1	Rv0057	NODATA
NP_214572.1	Rv0058	dnaB
NP_214573.1	Rv0059	NODATA
NP_214574.1	Rv0060	NODATA
YP_007408697.1	Rv0061c	NODATA
YP_177689.1	Rv0062	celA1
NP_214577.1	Rv0063	NODATA
YP_009030026.1	Rv0063a	NODATA
NP_214578.1	Rv0064	NODATA
YP_007408701.1	Rv0064A	vapB1
NP_214579.1	Rv0065	vapC1
NP_214580.1	Rv0066c	icd2
NP_214581.1	Rv0067c	NODATA
NP_214582.1	Rv0068	NODATA
NP_214583.1	Rv0069c	sdaA
NP_214584.1	Rv0070c	glyA2
NP_214585.1	Rv0071	NODATA
