NP_387882.1	BSU00010	dnaA
NP_387883.1	BSU00020	dnaN
NP_387884.1	BSU00030	rlbA
NP_387885.1	BSU00040	recF
NP_387886.2	BSU00050	remB
NP_387887.1	BSU00060	gyrB
NP_387888.1	BSU00070	gyrA
NP_387889.1	BSU00080	yaaC
NP_387890.1	BSU00090	guaB
NP_387891.1	BSU00100	dacA
NP_387892.1	BSU00110	pdxS
NP_387893.1	BSU00120	pdxT
NP_387894.1	BSU00130	serS
NP_387895.1	BSU00140	dck
NP_387896.1	BSU00150	dgk
NP_387897.1	BSU00160	sleL
NP_387898.1	BSU00170	yaaI
NP_387899.1	BSU00180	tadA
NP_387900.2	BSU00190	dnaX
NP_387901.1	BSU00200	ebfC
NP_387902.1	BSU00210	recR
NP_387903.1	BSU00220	yaaL
NP_387904.2	BSU00230	bofA
NP_387905.1	BSU00240	csfB
NP_387906.1	BSU00250	xpaC
NP_387907.1	BSU00260	yaaN
NP_387908.1	BSU00270	yaaO
NP_387909.2	BSU00280	tmk
NP_387910.1	BSU00290	darA
NP_387911.1	BSU00300	yaaR
NP_387912.1	BSU00310	holB
NP_387913.1	BSU00320	ricT
NP_387914.1	BSU00330	dnaH
NP_387915.1	BSU00340	trmNF
NP_387916.1	BSU00350	yazA
NP_387917.1	BSU00360	rsmI
NP_387918.1	BSU00370	abrB
NP_387919.1	BSU00380	metS
NP_387920.1	BSU00390	dayD
NP_387921.1	BSU00400	yabE
NP_387922.1	BSU00410	rnmV
NP_387923.1	BSU00420	rsmA
NP_387924.1	BSU00430	prtG
NP_387925.1	BSU00440	veg
NP_387926.1	BSU00450	sspF
NP_387927.1	BSU00460	ispE
NP_387928.1	BSU00470	purR
NP_387929.1	BSU00480	ridA
NP_387930.1	BSU00490	spoVG
NP_387931.1	BSU00500	glmU
NP_387932.1	BSU00510	prs
NP_387933.1	BSU00520	ctc
NP_387934.1	BSU00530	pth
NP_387935.1	BSU00540	fin
NP_387936.1	BSU00550	mfd
NP_387937.1	BSU00560	spoVT
NP_387938.1	BSU00570	yabM
NP_387939.1	BSU00580	yabN
NP_387940.1	BSU00590	hslR
NP_387941.1	BSU00600	spcP
NP_387942.1	BSU00610	spcQ
NP_387943.1	BSU00620	divIC
NP_387944.1	BSU00630	yabR
NP_387945.1	BSU00640	spoIIE
NP_387946.1	BSU00650	yabS
NP_387947.2	BSU00660	prkT
NP_387948.1	BSU00670	tilS
NP_387949.1	BSU00680	hprT
NP_387950.1	BSU00690	ftsH
NP_387951.2	BSU00700	coaX
NP_387952.1	BSU00710	hslO
NP_387953.1	BSU00720	yacD
NP_387954.1	BSU00730	cysK
NP_387955.1	BSU00740	pabB
NP_387956.1	BSU00750	pabA
NP_387957.1	BSU00760	pabC
NP_387958.1	BSU00770	folP
NP_387959.1	BSU00780	folB
NP_387960.1	BSU00790	folK
NP_387961.1	BSU00800	yazB
NP_387962.1	BSU00810	dusB
NP_387963.1	BSU00820	lysS
NP_387964.1	BSU00830	ctsR
NP_387965.1	BSU00840	mcsA
NP_387966.1	BSU00850	mcsB
NP_387967.1	BSU00860	clpC
NP_387968.1	BSU00870	radA
NP_387969.1	BSU00880	disA
NP_387970.1	BSU00890	yacL
NP_387971.1	BSU00900	ispD
NP_387972.1	BSU00910	ispF
NP_387973.1	BSU00920	gltX
NP_387974.1	BSU00930	cysE
NP_387975.1	BSU00940	cysS
NP_387976.1	BSU00950	mrnC
NP_387977.1	BSU00960	rlmB
NP_387978.1	BSU00970	raeA
NP_387979.1	BSU00980	sigH
NP_387980.1	BSU00990	rpmGB
NP_387981.1	BSU01000	secE
NP_387982.1	BSU01010	nusG
NP_387983.2	BSU01020	rplK
NP_387984.2	BSU01030	rplA
NP_387985.2	BSU01040	rplJ
NP_387986.1	BSU01050	rplL
NP_387987.1	BSU01060	rlmG
NP_387988.2	BSU01070	rpoB
NP_387989.2	BSU01080	rpoC
NP_387990.1	BSU01090	rulS
NP_387991.2	BSU01100	rpsL
NP_387992.2	BSU01110	rpsG
NP_387993.2	BSU01120	fusA
NP_387994.1	BSU01130	tufA
NP_387995.2	BSU01140	ybaC
NP_387996.1	BSU01150	rpsJ
NP_387997.1	BSU01160	rplC
NP_387998.1	BSU01170	rplD
NP_387999.2	BSU01180	rplW
NP_388000.2	BSU01190	rplB
NP_388001.1	BSU01200	rpsS
NP_388002.1	BSU01210	rplV
NP_388003.2	BSU01220	rpsC
NP_388004.1	BSU01230	rplP
NP_388005.1	BSU01240	rpmC
NP_388006.1	BSU01250	rpsQ
NP_388007.1	BSU01260	rplNA
NP_388008.1	BSU01270	rplX
NP_388009.1	BSU01280	rplE
NP_388010.1	BSU01290	rpsNA
NP_388011.2	BSU01300	rpsH
NP_388012.1	BSU01310	rplF
NP_388013.2	BSU01320	rplR
NP_388014.1	BSU01330	rpsE
NP_388015.1	BSU01340	rpmD
NP_388016.1	BSU01350	rplO
NP_388017.1	BSU01360	secY
NP_388018.1	BSU01370	adk
NP_388019.1	BSU01380	mapA
YP_003097669.1	BSU01389	ybzG
NP_388020.1	BSU01390	infA
NP_388021.1	BSU01400	rpmJ
NP_388022.2	BSU01410	rpsM
NP_388023.1	BSU01420	rpsK
NP_388024.1	BSU01430	rpoA
NP_388025.1	BSU01440	rplQ
NP_388026.2	BSU01450	ecfA
NP_388027.1	BSU01460	ecfAB
NP_388028.2	BSU01470	ecfT
NP_388029.2	BSU01480	truA
NP_388030.2	BSU01490	rplM
NP_388031.1	BSU01500	rpsI
NP_388032.2	BSU01510	ybaJ
NP_388033.1	BSU01520	ybaK
NP_388034.1	BSU01530	cwlD
NP_388035.1	BSU01540	salA
NP_388036.1	BSU01550	gerD
NP_388037.1	BSU01560	kbaA
NP_388038.1	BSU01570	pdaB
NP_388039.1	BSU01580	ybaR
NP_388040.2	BSU01590	ybaS
NP_388041.2	BSU01600	eesA
NP_388042.2	BSU01610	feuC
NP_388043.1	BSU01620	feuB
NP_388044.1	BSU01630	feuA
NP_388045.1	BSU01640	btr
NP_388046.1	BSU01650	ybbC
NP_388047.1	BSU01660	nagZ
NP_388048.2	BSU01670	amiE
NP_388049.3	BSU01680	murP
NP_388050.1	BSU01690	murR
NP_388051.1	BSU01700	murQ
NP_388052.2	BSU01710	ybbJ
NP_388053.2	BSU01720	ybbK
NP_388054.1	BSU01730	sigW
NP_388055.1	BSU01740	rsiW
NP_388056.2	BSU01750	cdaA
NP_388057.2	BSU01760	cdaR
NP_388058.1	BSU01770	glmM
NP_388059.1	BSU01780	glmS
YP_009513939.1	BSU01790	ybbU
NP_388061.1	BSU01800	alkA
NP_388062.1	BSU01810	adaA
NP_388063.1	BSU01820	adaB
NP_388064.1	BSU01830	ndhF
NP_388065.2	BSU01845	ybcC
NP_388067.1	BSU01860	ybcF
NP_388068.1	BSU01870	ybcH
NP_388069.1	BSU01880	ybcI
YP_003097670.1	BSU01889	ybzH
NP_388070.1	BSU01890	ybcL
NP_388071.1	BSU01900	ybcM
NP_388072.1	BSU01910	skfA
NP_388073.2	BSU01920	skfB
YP_003097671.1	BSU01935	skfC
NP_388077.1	BSU01950	skfE
NP_388078.2	BSU01960	skfF
NP_388079.2	BSU01970	skfG
NP_388080.2	BSU01980	skfH
NP_388081.2	BSU01990	ybdG
NP_388082.1	BSU02000	ybdJ
NP_388083.1	BSU02010	ybdK
YP_003097672.1	BSU02019	ybzI
NP_388085.1	BSU02030	ybdM
NP_388086.1	BSU02040	ybdN
NP_388087.1	BSU02050	ybdO
NP_388088.1	BSU02060	ybxG
NP_388089.1	BSU02070	csgA
NP_388090.1	BSU02080	ybxH
NP_388091.1	BSU02090	ybxI
NP_388092.1	BSU02100	cypC
NP_388093.1	BSU02110	ybyB
NP_388094.2	BSU02120	ybeC
NP_388095.1	BSU02130	glpQA
NP_388096.1	BSU02140	glpT
NP_388097.1	BSU02150	ybeF
NP_388098.1	BSU02160	ybfA
NP_388099.1	BSU02170	ybfB
NP_388101.1	BSU02190	ybfF
NP_388102.1	BSU02200	ybfG
NP_388103.1	BSU02210	ybfH
NP_388104.1	BSU02220	ybfI
NP_388105.1	BSU02230	purT
NP_388106.1	BSU02240	mpr
NP_388107.1	BSU02250	ybfJ
