NP_459006.1	STM0001	thrL
NP_459007.1	STM0002	thrA
NP_459008.1	STM0003	thrB
NP_459009.1	STM0004	thrC
NP_459010.1	STM0005	yaaA
NP_459011.1	STM0006	yaaJ
NP_459012.1	STM0007	talB
NP_459013.1	STM0008	mog
NP_459014.1	STM0009	yaaH
NP_459015.1	STM0010	htgA
NP_459016.1	STM0011	yaaI
NP_459017.1	STM0012	dnaK
NP_459018.1	STM0013	dnaJ
NP_459019.1	STM0014	NODATA
NP_459020.1	STM0015	NODATA
NP_459021.1	STM0016	NODATA
NP_459022.1	STM0017	NODATA
NP_459023.1	STM0018	NODATA
NP_459024.1	STM0019	NODATA
NP_459025.1	STM0020	NODATA
NP_459026.1	STM0021	bcfA
NP_459027.1	STM0022	bcfB
NP_459028.1	STM0023	bcfC
NP_459029.1	STM0024	bcfD
NP_459030.1	STM0025	bcfE
NP_459031.1	STM0026	bcfF
NP_459032.1	STM0027	bcfG
NP_459033.1	STM0028	bcfH
NP_459034.1	STM0029	NODATA
NP_459035.1	STM0030	NODATA
NP_459036.1	STM0031	NODATA
NP_459037.1	STM0032	NODATA
NP_459038.1	STM0033	NODATA
NP_459039.1	STM0034	NODATA
NP_459040.1	STM0035	NODATA
NP_459041.1	STM0036	NODATA
NP_459042.1	STM0037	NODATA
NP_459043.1	STM0038	NODATA
NP_459044.1	STM0039	nhaA
NP_459045.1	STM0040	nhaR
NP_459046.1	STM0041	NODATA
NP_459047.1	STM0042	NODATA
NP_459048.1	STM0043	rpsT
NP_459049.1	STM0044	yaaY
NP_459050.1	STM0045	ribF
NP_459051.1	STM0046	ileS
NP_459052.1	STM0047	lspA
NP_459053.1	STM0048	slpA
NP_459054.1	STM0049	lytB
NP_459055.1	STM0050	NODATA
NP_459056.1	STM0051	rihC
NP_459057.1	STM0052	NODATA
NP_459058.1	STM0053	NODATA
NP_459059.1	STM0054	NODATA
NP_459060.1	STM0055	NODATA
NP_459061.1	STM0056	NODATA
NP_459062.1	STM0057	NODATA
NP_459063.1	STM0058	citC2
NP_459064.1	STM0059	citD2
NP_459065.1	STM0060	citE2
NP_459066.1	STM0061	citF2
NP_459067.1	STM0062	citX2
NP_459068.1	STM0063	citG2
NP_459069.1	STM0064	dapB
NP_446529.1	STM0065	NODATA
NP_459071.1	STM0066	carA
NP_459072.1	STM0067	carB
NP_459073.1	STM0068	caiF
NP_459074.1	STM0069	caiE
